id,time_days,timestamp_ms,latitude,longitude,magnitude,parent_id,generation,time_utc,parent_idx,parent_eta,forman_curvature,degree
sim_38,0.012763287037037037,1782339776137,9.69714484495736,-67.69884498031647,2.2,us6000t7zp,1,2026-06-24 22:22:56,1.0,0.000541246095835641,-259.0,1
sim_76,0.013204502314814815,1782339814258,10.441463955172232,-68.44686792130122,2.0,us6000t7zp,1,2026-06-24 22:23:34,1.0,3.154238200003939e-07,-259.0,1
sim_100,0.013375960648148149,1782339829072,10.38712329222348,-68.46806564145328,2.2,us6000t7zp,1,2026-06-24 22:23:49,1.0,1.170148389804879e-06,-259.0,1
us6000t80d,0.013430381944444444,1782339833774,10.5911,-66.6976,4.5,NONE,0,2026-06-24 22:23:53,1.0,0.00155736696065985,-259.0,1
sim_272,0.01521105324074074,1782339987624,10.239436856860385,-67.82908333433153,2.1,us6000t7zc,1,2026-06-24 22:26:27,1.0,0.00025282531576754246,-259.0,1
sim_292,0.01532164351851852,1782339997179,10.485411393481993,-68.20506373396584,2.6,us6000t7zc,1,2026-06-24 22:26:37,1.0,4.144159677804477e-05,-259.0,1
sim_315,0.015837881944444444,1782340041782,10.281124665915051,-68.59066410886982,2.2,us6000t7zc,1,2026-06-24 22:27:21,1.0,2.2529731868759393e-05,-259.0,1
sim_222,0.017356342592592593,1782340172977,10.48356538799534,-69.13886347416664,2.6,us6000t7zc,1,2026-06-24 22:29:32,1.0,0.00028630712770387137,-259.0,1
sim_140,0.02043547453703704,1782340439014,10.398551124565168,-68.50200185598139,2.1,us6000t7zp,1,2026-06-24 22:33:59,1.0,1.7431796085154702e-06,-259.0,1
sim_193,0.0205859375,1782340452014,10.328829681372838,-68.60784955062317,2.5,us6000t7zp,1,2026-06-24 22:34:12,1.0,2.3041411111578914e-05,-259.0,1
sim_159,0.02066195601851852,1782340458582,10.494097021422284,-68.43388898123125,2.0,us6000t7zp,1,2026-06-24 22:34:18,1.0,3.839006347984588e-06,-259.0,1
sim_45,0.02262224537037037,1782340627951,10.287324591648527,-68.5290322296306,2.0,us6000t7zp,1,2026-06-24 22:37:07,1.0,2.1706423225133154e-05,-259.0,1
sim_119,0.023088530092592593,1782340668238,9.631842168149564,-68.07123315699097,2.5,us6000t7zp,1,2026-06-24 22:37:48,1.0,0.000708950785600227,-259.0,1
sim_81,0.023171168981481482,1782340675378,10.410322858842209,-68.49180505157464,2.5,us6000t7zp,1,2026-06-24 22:37:55,1.0,8.965134059669416e-07,-259.0,1
sim_175,0.023359861111111112,1782340691681,10.386802215056594,-68.45050381397684,2.1,us6000t7zp,1,2026-06-24 22:38:11,1.0,2.4760400949604897e-06,-259.0,1
sim_264,0.02381826388888889,1782340731287,11.926064601547845,-68.35244227188976,2.4,us6000t7zc,1,2026-06-24 22:38:51,1.0,0.002044294862668734,-259.0,1
sim_142,0.025726296296296296,1782340896141,10.44993071923228,-68.41416982097233,2.5,us6000t7zp,1,2026-06-24 22:41:36,1.0,3.3709729117118402e-06,-259.0,1
sim_72,0.02600449074074074,1782340920177,10.486029658703629,-68.4716790347703,2.2,us6000t7zp,1,2026-06-24 22:42:00,1.0,2.5924952943816674e-06,-259.0,1
sim_266,0.0265040625,1782340963340,10.49522587879238,-68.50228320974306,2.1,us6000t7zc,1,2026-06-24 22:42:43,1.0,4.611577001251179e-06,-259.0,1
sim_201,0.02690425925925926,1782340997917,10.502378712864688,-68.59407163978123,2.1,us6000t7zp,1,2026-06-24 22:43:17,0.0,1.818878298923573e-05,-33.0,1
sim_214,0.027547523148148147,1782341053495,10.650547516886729,-68.45530408481324,2.7,us6000t7zp,1,2026-06-24 22:44:13,1.0,4.946610653893436e-05,-259.0,1
sim_173,0.02836736111111111,1782341124329,10.404419048239625,-68.47334230353687,3.2,us6000t7zp,1,2026-06-24 22:45:24,1.0,1.031005872758132e-06,-259.0,1
sim_302,0.02927806712962963,1782341203014,9.84075206897911,-68.42560096859138,3.5,us6000t7zc,1,2026-06-24 22:46:43,1.0,0.00040059266262507397,-259.0,1
sim_165,0.030211539351851852,1782341283666,10.474443656962569,-68.55065000097146,2.6,us6000t7zp,1,2026-06-24 22:48:03,0.0,4.6838210308252195e-06,-33.0,1
sim_116,0.030564710648148148,1782341314180,10.53537666750716,-68.54901325989076,2.1,us6000t7zp,1,2026-06-24 22:48:34,1.0,1.8667600293549385e-05,-259.0,1
sim_316,0.034321099537037034,1782341638732,10.468514388974564,-68.48483782060508,2.7,us6000t7zc,1,2026-06-24 22:53:58,1.0,1.7035018162859832e-06,-259.0,1
sim_21,0.0357166087962963,1782341759304,9.530824760083616,-66.28519966726664,2.1,us6000t80d,1,2026-06-24 22:55:59,1.0,0.007522655259461416,-259.0,1
sim_148,0.038316145833333336,1782341983904,10.444686631242485,-68.57152402920134,2.1,us6000t7zp,1,2026-06-24 22:59:43,0.0,5.777892149583086e-06,-33.0,1
sim_133,0.03980126157407408,1782342112218,10.43936170506386,-68.42431412848826,2.5,us6000t7zp,1,2026-06-24 23:01:52,1.0,3.355995731229963e-06,-259.0,1
