time_days,entropy_rate,spectral_gap,relaxation_time_days
0.0383007568274604,0.0,0.0,
0.05399826006854022,0.0,0.0,
0.0744381305553295,0.0,0.0,
0.1026071201380977,0.0,0.0,
0.13990339050858108,0.0,0.0,
0.19159746342694317,0.0,0.0,
0.2717834563643844,0.0,0.0,
0.39514027905216925,1.3076062192521112,0.0,
0.5666875098390932,0.0,0.0,
0.7802046094908538,0.0,0.0,
1.0423749341441968,0.0,0.0,
1.357118368403117,0.0,0.0,
1.7234244646990742,0.0,0.0,
2.1533948724534775,0.0,0.0,
2.715687242476852,0.0,0.0,
3.504403138309055,0.0,0.0,
4.420865776966236,0.0,0.0,
5.2926221812495475,0.0,0.0,
6.115160997337059,0.0,0.0,
6.893980740624887,0.0,0.0,
7.620644753703365,0.0,0.0,
8.29011196516249,0.0,0.0,
8.903020643980238,0.0,0.0,
9.44406250786958,0.0,0.0,
9.843030444443315,0.0,0.0,
10.000278373958446,0.0,0.0,
10.002273573147809,0.0,0.0,
10.021069199074638,0.0,0.0,
10.081381975230464,0.0,0.0,
10.325773048609982,0.0,0.0,
11.23072395995246,0.0,0.0,
