time_days,avg_forman_curvature,std_forman_curvature,negative_curvature_fraction
0.03465021249999999,-235.9387755102041,68.41064726871917,1.0
0.04785179953703704,-234.14,70.71308506917231,1.0
0.06509033506944445,-234.14,70.71308506917231,1.0
0.08745778657407408,-229.28,76.95350284425004,0.99
0.1171370023148148,-226.68,80.22803500024165,0.98
0.15618456481481482,-224.42,82.43848373181059,0.98
0.21148415636574072,-222.16,84.53078965678716,0.98
0.29566829791666666,-219.9,86.5135249541943,0.98
0.42323827916666673,-219.9,86.51352495419431,0.98
0.5915754131944445,-219.96,86.54269697669469,0.98
0.7943638212962963,-214.8,91.60458503808638,0.98
1.0449808363425928,-216.75,90.60522887780816,0.97
1.3471351682870372,-211.91,94.62188911663094,0.97
1.6984843302083332,-211.91,94.62188911663095,0.97
2.109022535416667,-204.33,100.79524343936077,0.97
2.629401552662037,-204.02,101.36774437660137,0.97
3.3592589636574077,-210.46,97.85217626603917,0.96
4.263917601851852,-200.05,106.17696313231038,0.95
5.130711792824075,-181.35,117.72572998287163,0.93
5.95539407337963,-158.91,124.25225108624795,0.9
6.74323850625,-139.42,126.13192934384219,0.87
7.479323634490743,-121.16,125.57386033725332,0.87
8.159585412615742,-106.14,123.11653179000781,0.86
8.785050060416667,-85.9,116.95447832383334,0.85
9.343466333217593,-71.24,109.19607318946959,0.84
9.781789197569445,-48.34,92.89114274245956,0.82
9.993599067592593,-25.51,65.4486814229286,0.79
10.00038039861111,-19.66,55.39336061298321,0.76
10.006623426736109,-40.62,83.73324071120143,0.78
10.034839980787035,-57.81,100.03776237001706,0.79
10.144839416319444,-79.86,113.95850297367018,0.81
10.526760839236113,-96.17,119.81118937728647,0.82
11.614192265972221,-113.09,124.45176535509651,0.81
