id,time_days,timestamp_ms,latitude,longitude,magnitude,parent_id,generation,time_utc
us6000t7zc,0.0,1782338673389,10.436,-68.5277,7.2,NONE,0,2026-06-24 22:04:33
us6000t7zp,0.00044186342592592595,1782338711566,10.4351,-68.4716,7.5,NONE,0,2026-06-24 22:05:11
sim_313,0.000676492858405795,1782338731837,10.426250033701814,-68.61641776645497,2.4,us6000t7zc,1,2026-06-24 22:05:31
sim_198,0.0007562222679953725,1782338738726,10.488526141369983,-68.54459031485429,2.7,us6000t7zp,1,2026-06-24 22:05:38
sim_44,0.0010772039117712654,1782338766459,10.401652168884798,-68.49214822931866,2.4,us6000t7zp,1,2026-06-24 22:06:06
sim_254,0.00179026885521979,1782338828068,10.517362340953538,-67.91233032572819,2.1,us6000t7zc,1,2026-06-24 22:07:08
sim_87,0.0021415858162418667,1782338858422,10.850348814260766,-68.5572564113093,2.8,us6000t7zp,1,2026-06-24 22:07:38
sim_282,0.002188284091258588,1782338862456,10.763480612955474,-68.21052299784641,2.9,us6000t7zc,1,2026-06-24 22:07:42
sim_52,0.0022253011976540484,1782338865655,10.624351867569867,-68.37674285814109,2.1,us6000t7zp,1,2026-06-24 22:07:45
sim_327,0.0023065610207653455,1782338872675,10.452803209456544,-68.59911066594934,2.0,us6000t7zc,1,2026-06-24 22:07:52
sim_218,0.002405303368962484,1782338881207,10.407119818446885,-68.5210874169585,2.1,us6000t7zp,1,2026-06-24 22:08:01
sim_304,0.0024663271571013713,1782338886479,9.761900706887634,-69.28911322625429,2.1,us6000t7zc,1,2026-06-24 22:08:06
sim_247,0.0025889811144747775,1782338897076,10.676929503150726,-68.6028119733497,3.1,us6000t7zc,1,2026-06-24 22:08:17
sim_132,0.002591329640622302,1782338897279,10.217808844884006,-68.70596784316034,2.1,us6000t7zp,1,2026-06-24 22:08:17
sim_64,0.0032056559613487367,1782338950357,10.401600971681882,-68.59566805599817,2.4,us6000t7zp,1,2026-06-24 22:09:10
sim_29,0.003289351069377005,1782338957588,10.431924869602264,-68.66338171074018,2.1,us6000t7zp,1,2026-06-24 22:09:17
sim_168,0.004700309470851254,1782339079495,10.502566339418562,-68.41067027681538,2.3,us6000t7zp,1,2026-06-24 22:11:19
sim_322,0.005143710568827487,1782339117805,10.49493755443015,-68.48942702342677,2.0,us6000t7zc,1,2026-06-24 22:11:57
sim_289,0.005973047356718615,1782339189460,10.356973249130741,-68.54931860835812,2.5,us6000t7zc,1,2026-06-24 22:13:09
sim_85,0.006590131356158658,1782339242776,10.439546479935302,-68.43228265903338,2.1,us6000t7zp,1,2026-06-24 22:14:02
sim_238,0.0068326726491176795,1782339263731,10.444022827227803,-68.81558951050326,2.0,us6000t7zc,1,2026-06-24 22:14:23
sim_276,0.006953664881063695,1782339274185,10.452211040242489,-69.06806597010922,2.5,us6000t7zc,1,2026-06-24 22:14:34
sim_117,0.007593043654131611,1782339329427,10.305301860546196,-66.95209485040603,2.4,us6000t7zp,1,2026-06-24 22:15:29
sim_146,0.008100434795491638,1782339373266,10.135709911977218,-67.91059042178514,2.4,us6000t7zp,1,2026-06-24 22:16:13
sim_105,0.008325361356520731,1782339392700,10.309542404629537,-68.80374708108134,2.2,us6000t7zp,1,2026-06-24 22:16:32
sim_43,0.008408741113309763,1782339399904,10.40414527881334,-68.42909537404577,2.4,us6000t7zp,1,2026-06-24 22:16:39
sim_241,0.008971224358721488,1782339448502,11.166494017819769,-67.88778508152105,2.2,us6000t7zc,1,2026-06-24 22:17:28
sim_95,0.009372012306468336,1782339483130,10.408526019365784,-68.38832795489698,3.0,us6000t7zp,1,2026-06-24 22:18:03
sim_101,0.010796522672677914,1782339606208,10.401687954393568,-68.48241053896287,2.4,us6000t7zp,1,2026-06-24 22:20:06
sim_311,0.010938901927136238,1782339618510,10.430237096497201,-68.45793846537379,2.3,us6000t7zc,1,2026-06-24 22:20:18
sim_259,0.011824420666107845,1782339695018,10.52810720023101,-68.55002254914392,2.1,us6000t7zc,1,2026-06-24 22:21:35
sim_195,0.01272380279747703,1782339772725,9.163073793905372,-67.66327851916014,2.3,us6000t7zp,1,2026-06-24 22:22:52
sim_38,0.01276328873127195,1782339776137,9.69714484495736,-67.69884498031647,2.2,us6000t7zp,1,2026-06-24 22:22:56
sim_76,0.01320451357257902,1782339814258,10.441463955172232,-68.44686792130122,2.0,us6000t7zp,1,2026-06-24 22:23:34
sim_100,0.013375964742314636,1782339829072,10.38712329222348,-68.46806564145328,2.2,us6000t7zp,1,2026-06-24 22:23:49
us6000t80d,0.013430381944444444,1782339833774,10.5911,-66.6976,4.5,NONE,0,2026-06-24 22:23:53
sim_272,0.01521106115132206,1782339987624,10.239436856860385,-67.82908333433153,2.1,us6000t7zc,1,2026-06-24 22:26:27
sim_292,0.015321649768472395,1782339997179,10.485411393481991,-68.20506373396584,2.6,us6000t7zc,1,2026-06-24 22:26:37
sim_315,0.01583788431372348,1782340041782,10.281124665915051,-68.59066410886982,2.2,us6000t7zc,1,2026-06-24 22:27:21
sim_222,0.01735634278864862,1782340172977,10.48356538799534,-69.13886347416664,2.6,us6000t7zc,1,2026-06-24 22:29:32
sim_140,0.020435475757352294,1782340439014,10.398551124565167,-68.50200185598139,2.1,us6000t7zp,1,2026-06-24 22:33:59
sim_193,0.02058594146163566,1782340452014,10.328829681372838,-68.60784955062317,2.5,us6000t7zp,1,2026-06-24 22:34:12
sim_159,0.02066195670760328,1782340458582,10.494097021422284,-68.43388898123125,2.0,us6000t7zp,1,2026-06-24 22:34:18
sim_45,0.022622251480164418,1782340627951,10.287324591648527,-68.5290322296306,2.0,us6000t7zp,1,2026-06-24 22:37:07
sim_119,0.02308853105211864,1782340668238,9.631842168149564,-68.07123315699097,2.5,us6000t7zp,1,2026-06-24 22:37:48
sim_81,0.023171169434971745,1782340675378,10.410322858842209,-68.49180505157464,2.5,us6000t7zp,1,2026-06-24 22:37:55
sim_175,0.02335986777578612,1782340691681,10.386802215056594,-68.45050381397684,2.1,us6000t7zp,1,2026-06-24 22:38:11
sim_264,0.023818264331194206,1782340731287,11.926064601547843,-68.35244227188976,2.4,us6000t7zc,1,2026-06-24 22:38:51
sim_142,0.02572629637569279,1782340896141,10.449930719232281,-68.41416982097233,2.5,us6000t7zp,1,2026-06-24 22:41:36
sim_72,0.026004492235486173,1782340920177,10.486029658703629,-68.4716790347703,2.2,us6000t7zp,1,2026-06-24 22:42:00
sim_266,0.026504062647904388,1782340963340,10.495225878792379,-68.50228320974306,2.1,us6000t7zc,1,2026-06-24 22:42:43
sim_201,0.026904270295503078,1782340997917,10.502378712864688,-68.59407163978123,2.1,us6000t7zp,1,2026-06-24 22:43:17
sim_214,0.02754753470784856,1782341053495,10.650547516886729,-68.45530408481324,2.7,us6000t7zp,1,2026-06-24 22:44:13
sim_173,0.02836736779757527,1782341124329,10.404419048239625,-68.47334230353687,3.2,us6000t7zp,1,2026-06-24 22:45:24
sim_302,0.029278067389581823,1782341203014,9.84075206897911,-68.42560096859138,3.5,us6000t7zc,1,2026-06-24 22:46:43
sim_165,0.030211549830700336,1782341283666,10.474443656962569,-68.55065000097146,2.6,us6000t7zp,1,2026-06-24 22:48:03
sim_116,0.030564720318005407,1782341314180,10.53537666750716,-68.54901325989076,2.1,us6000t7zp,1,2026-06-24 22:48:34
